SPO#;CP_Bang;CP_GiayPhep;CP_VanChuyen;CP_VatTu;CP_Khac;CP_NhanCong;Total_Cost;ten_loai_bang_hieu;SPO_brand;Request Date;OutletID;Type;Requester;Outlet Name;status_SPO;Signage Class;Supplier;SS/SE;Sales Rep;item_bang_hiflex;item_bat_tha_hiflex;item_canopy;item_hop_den_hiflex;item_led_logo;item_bat_hiflex;item_tranh_dien;item_emblem;item_led;item_bang;item_standard;status_SPO;Area;Region;ASM Approve;SR Accepted Date;Budget;Complete/In progress;ASM Status;Pending At;Warchest/AP
176;0;250000;0;1736000;0;0;1986000;;Bivina;06/01/2026;176;New Signage Request;Nguyen Thanh Tai;5 Nhi;Sales Rep Checked Variation;Standard;Công ty TNHH Mỹ Thuật Quảng Cáo Kiến Trúc Đỗ Lê;Ho Nguyen Van Khoi;Nguyen Thanh Tai;0;0;0;0;0;2;0;0;0;2;2;Sales Rep Checked Variation;Central 22;Central Coast North; 13/01/2026;;100%_#_LME 2026_1_Sales Dept;In progress;ASM approve;nha ve;AP
177;2210400;250000;0;464100;0;0;2924500;bang hieu hiflex 1 mat ngoai troi;Larue;06/01/2026;177;New Signage Request;DIEP TRUONG THANH;TAP HOA BIA TOAN TRANG;Sales Rep Submitted;Standard;Công ty TNHH TM DV Quảng Cáo Hồ Đài;NGUYEN VAN NHO;DIEP TRUONG THANH;1;0;0;0;0;0;0;0;0;1;1;Sales Rep Submitted;South 2;Mekong Delta 1;;;100%_LME_S2-LME 2026_1_Sales Dept;In progress;In progress;Sale team;AP
178;0;250000;0;1736000;0;0;1986000;;Bivina;06/01/2026;178;New Signage Request;Nguyen Thanh Tai;VIT CAY XANH;Sales Rep Checked Variation;Standard;Công ty TNHH Mỹ Thuật Quảng Cáo Kiến Trúc Đỗ Lê;Ho Nguyen Van Khoi;Nguyen Thanh Tai;0;0;0;0;0;2;0;0;0;2;2;Sales Rep Checked Variation;Central 22;Central Coast North; 13/01/2026;;100%_#_LME 2026_1_Sales Dept;In progress;ASM approve;nha ve;AP
179;8128000;250000;0;925000;0;0;9303000;hop den hiflex 1 mat ngoai troi day du, hop den hiflex 2 mat ngoai troi day du;Bivina;06/01/2026;179;New Signage Request;Nguyen Thanh Tai;Quan Bong;Area Sales Manager Approved...;Standard;Công ty TNHH Mỹ Thuật Quảng Cáo Kiến Trúc Đỗ Lê;Ho Nguyen Van Khoi;Nguyen Thanh Tai;0;0;0;2;0;0;0;0;0;2;2;Area Sales Manager Approved...;Central 22;Central Coast North; 13/01/2026;;100%_#_LME 2026_1_Sales Dept;In progress;ASM approve;Sale team;AP
180;5461000;250000;0;2040600;0;0;7751600;bang hieu hiflex 1 mat ngoai troi, hop den hiflex 2 mat ngoai troi day du;Larue;06/01/2026;180;New Signage Request;Nguyen Nhut Tan;DIEM NUONG;Sales Rep Submitted;Standard;Công ty TNHH TM DV Quảng Cáo Hồ Đài;NGUYEN VAN NHO;Nguyen Nhut Tan;1;0;0;1;0;0;0;0;0;2;2;Sales Rep Submitted;South 2;Mekong Delta 1;;;100%_LME_S2-LME 2026_1_Sales Dept;In progress;In progress;Sale team;AP
181;33000000;250000;0;387000;0;0;33637000;led logo_ngoai troi_phien ban 2025_size 1.0:3.0_tiger;Tiger;06/01/2026;181;New Signage Request;Nguyen Cong Kien;BE THUI BINH DUNG 2;Sign Maker Installed Signage;Premium;Công ty TNHH Quảng Cáo TM Lam Sơn;Ngo Van Uc;Nguyen Cong Kien;0;0;0;0;1;0;0;0;1;1;0;Sign Maker Installed Signage;Central 24;Central Coast North; 14/01/2026;;100%_#_LME 2026_1_Sales Dept;Complete;Complete;Complete;AP
182;2698000;0;0;751500;0;0;3449500;hop den hiflex 2 mat ngoai troi day du;Larue;06/01/2026;182;New Signage Request;LE VAN SON;TH HUYNH HONG;Area Sales Manager Approved (MOA ASM);Standard;Công ty TNHH MTV Quảng Cáo Phước Tiến;Vo Duc Thanh;LE VAN SON;0;0;0;1;0;0;0;0;0;1;1;Area Sales Manager Approved (MOA ASM);Quang Nam 2;Central Mid; 17/01/2026;;100%_LME2026_LME2026_1_Sales Dept;In progress;ASM approve;Sale team;AP
183;6700000;0;0;0;0;0;6700000;led logo_trong nha__phien ban 2025_ size 0.8:0.71m _tiger;Tiger;06/01/2026;183;New Signage Request;Truong Cong Quoc Khanh;A SUU;Sales Rep Submitted;Premium;Công ty TNHH MTV QC và trang trí nội ngoại thất Ngọc Lý;Nguyen Van Diep;Truong Cong Quoc Khanh;0;0;0;0;1;0;0;0;1;1;0;Sales Rep Submitted;Da Nang 1;Central Mid;;;100%_LME2026_LME2026_1_Sales Dept;In progress;In progress;Sale team;AP
184;2698000;250000;0;1137000;0;0;4085000;hop den hiflex 2 mat ngoai troi day du;Larue;06/01/2026;184;New Signage Request;Tran Ky Linh;ANH HANG;Sales Rep Submitted;Standard;Công ty TNHH TM DV Quảng Cáo Hồ Đài;Nguyen Van Tam;Tran Ky Linh;0;0;0;1;0;0;0;0;0;1;1;Sales Rep Submitted;South 2;Mekong Delta 1;;;100%_LME_S2-LME 2026_1_Sales Dept;In progress;In progress;Sale team;AP
185;18000000;550000;0;22410000;0;0;40960000;led logo doc_ngoai troi_size 1.5:3.0_heineken;Heineken;06/01/2026;185;New Signage Request;Duy Le Ba Duong;XICH LO QUAN;Sign Maker Installed Signage;Premium;Công Ty TNHH Dịch Vụ Quảng Cáo Mĩ Thi;Ngo Thanh Hung;Duy Le Ba Duong;0;0;0;0;1;0;0;0;1;1;0;Sign Maker Installed Signage;Modern On Trade 8;MONT South; 13/01/2026;;100%_LME 2026_LME 2026_1_Sales Dept;Complete;Complete;Complete;AP
186;33000000;250000;0;0;0;0;33250000;led logo_ngoai troi_phien ban 2025_size 1.0:3.0_tiger;Tiger;06/01/2026;186;New Signage Request;Vinh Nguyen Quang;GIO CON DE;Sales Rep Checked Variation;Standard;Công ty TNHH Quảng Cáo Hoàng Vinh;Dang Van Dao;Vinh Nguyen Quang;0;0;0;0;1;0;0;0;1;1;0;Sales Rep Checked Variation;Central 3;Central Coast South; 11/01/2026;;100%_LME_LME2026_1_Sales Dept;In progress;ASM approve;nha ve;AP
187;33000000;250000;0;0;0;300000;33550000;led logo_ngoai troi_phien ban 2025_size 1.0:3.0_tiger;Tiger;06/01/2026;187;New Signage Request;Vinh Nguyen Quang;OC THANH HIEN;Sales Rep Checked Variation;Standard;Công ty TNHH Quảng Cáo Hoàng Vinh;Dang Van Dao;Vinh Nguyen Quang;0;0;0;0;1;0;0;0;1;1;0;Sales Rep Checked Variation;Central 3;Central Coast South; 11/01/2026;;100%_LME_LME2026_1_Sales Dept;In progress;ASM approve;nha ve;AP
188;33000000;250000;0;0;0;0;33250000;led logo_ngoai troi_phien ban 2025_size 1.0:3.0_tiger;Tiger;06/01/2026;188;New Signage Request;Vinh Nguyen Quang;5 HUNG;Sales Rep Checked Variation;Standard;Công ty TNHH Quảng Cáo Hoàng Vinh;Dang Van Dao;Vinh Nguyen Quang;0;0;0;0;1;0;0;0;1;1;0;Sales Rep Checked Variation;Central 3;Central Coast South; 11/01/2026;;100%_LME_LME2026_1_Sales Dept;In progress;ASM approve;nha ve;AP
189;24000000;250000;0;0;0;0;24250000;led logo_ngoai troi_phien ban 2025_size 0.8:2.4_tiger;Tiger;06/01/2026;189;New Signage Request;Vinh Nguyen Quang;QUAN ZOZO;Sales Rep Checked Variation;Standard;Công ty TNHH Quảng Cáo Hoàng Vinh;Dang Van Dao;Vinh Nguyen Quang;0;0;0;0;1;0;0;0;1;1;0;Sales Rep Checked Variation;Central 3;Central Coast South; 11/01/2026;;100%_LME_LME2026_1_Sales Dept;In progress;ASM approve;nha ve;AP
190;33000000;250000;0;0;0;0;33250000;led logo_ngoai troi_phien ban 2025_size 1.0:3.0_tiger;Tiger;06/01/2026;190;New Signage Request;Vinh Nguyen Quang;QUAN CHO HAI SAN BON BAO;Sales Rep Checked Variation;Standard;Công ty TNHH Quảng Cáo Hoàng Vinh;Dang Van Dao;Vinh Nguyen Quang;0;0;0;0;1;0;0;0;1;1;0;Sales Rep Checked Variation;Central 3;Central Coast South; 11/01/2026;;100%_LME_LME2026_1_Sales Dept;In progress;ASM approve;nha ve;AP
191;2210400;250000;0;1056600;0;0;3517000;bang hieu hiflex 1 mat ngoai troi;Larue;06/01/2026;191;New Signage Request;La Phuoc Hoa;UT LAM;Sales Rep Submitted;Standard;Công ty TNHH DV Và TM Quảng Cáo An Giang;Nguyen Chi Nguyen;La Phuoc Hoa;1;0;0;0;0;0;0;0;0;1;1;Sales Rep Submitted;South 4;Mekong Delta 2;;;100%_LME_S4 LME 2026_1_Sales Dept;In progress;In progress;Sale team;AP
192;25300000;250000;0;0;0;0;25550000;led logo doc_co chai_size 1.186:0.9_heineken, led logo doc_ngoai troi_size 1.0:2.0_heineken;Heineken;06/01/2026;192;New Signage Request;Trinh Hoai Nhan;NOONG NUONG;Sales Rep Checked Variation;Premium;Hoa Thủy Ngân;NGUYEN THANH BINH;Trinh Hoai Nhan;0;0;0;0;2;0;0;0;2;2;0;Sales Rep Checked Variation;Modern On Trade 8;MONT South; 13/01/2026;;100%_LME 2026_LME 2026_1_Sales Dept;In progress;ASM approve;nha ve;AP
193;1726720;0;0;0;0;0;1726720;hop den hiflex 2 mat ngoai troi day du;Bivina;06/01/2026;193;New Signage Request;CAN NGUYEN VAN;CHUT BI;Sales Rep Checked Variation;Standard;Công ty TNHH Quảng Cáo Hoàng Vinh;Nguyen Van Duc;CAN NGUYEN VAN;0;0;0;1;0;0;0;0;0;1;1;Sales Rep Checked Variation;Central 3;Central Coast South; 16/01/2026;;100%_LME_LME2026_1_Sales Dept;In progress;ASM approve;nha ve;AP
194;1399920;250000;0;446880;0;0;2096800;bang hieu hiflex 1 mat ngoai troi;Bivina;06/01/2026;194;New Signage Request;CAN NGUYEN VAN;NGHIA;Sales Rep Checked Variation;Standard;Công ty TNHH Quảng Cáo Hoàng Vinh;Nguyen Van Duc;CAN NGUYEN VAN;1;0;0;0;0;0;0;0;0;1;1;Sales Rep Checked Variation;Central 3;Central Coast South; 16/01/2026;;100%_LME_LME2026_1_Sales Dept;In progress;ASM approve;nha ve;AP
195;0;250000;0;1027080;0;0;1277080;;Bivina;06/01/2026;195;New Signage Request;CAN NGUYEN VAN;TH THO;Sales Rep Checked Variation;Standard;Công ty TNHH Quảng Cáo Hoàng Vinh;Nguyen Van Duc;CAN NGUYEN VAN;0;0;0;0;0;1;0;0;0;1;1;Sales Rep Checked Variation;Central 3;Central Coast South; 16/01/2026;;100%_LME_LME2026_1_Sales Dept;In progress;ASM approve;nha ve;AP
196;48500000;250000;0;550000;0;0;49300000;led logo_ngoai troi_phien ban 2025_size 1.5:4.5_tiger;Tiger;07/01/2026;196;New Signage Request;Pham Minh Cuong;OC LA;Sign Maker Checked Marquette;Premium;CÔNG TY TNHH ĐẦU TƯ TÍN NHÂN;Nguyen Trung Truc;Pham Minh Cuong;0;0;0;0;1;0;0;0;1;1;0;Sign Maker Checked Marquette;Central 12;Central Highlands;;;100%_HL - C12 - LME - CY26_C12 - LME - CY26_1_Sales Dept;In progress;In progress;Sale team;AP
197;6516000;250000;0;1850000;0;0;8616000;hop den hiflex 1 mat ngoai troi day du;Tiger;07/01/2026;197;New Signage Request;Vien Tran Ngo Tuong;BAC NINH HOA QUAN;Area Sales Manager Approved...;Standard;Công ty TNHH Quảng Cáo Hoàng Vinh;Nguyen Hoang Quoc Tin;Vien Tran Ngo Tuong;0;0;0;1;0;0;0;0;0;1;1;Area Sales Manager Approved...;Central 3;Central Coast South; 11/01/2026;;100%_LME_LME2026_1_Sales Dept;In progress;ASM approve;Sale team;AP
198;2698000;250000;0;0;0;0;2948000;hop den hiflex 2 mat ngoai troi day du;Larue;07/01/2026;198;New Signage Request;NGUYEN TRONG NHAN (TG);HIEN TRUC;Sign Maker Installed Signage;Standard;Công ty TNHH TM DV Quảng Cáo Hồ Đài;DUONG CHI CUONG;NGUYEN TRONG NHAN (TG);0;0;0;1;0;0;0;0;0;1;1;Sign Maker Installed Signage;South 2;Mekong Delta 1; 12/01/2026;;100%_LME_S2-LME 2026_1_Sales Dept;Complete;Complete;Complete;AP
199;2698000;250000;0;0;0;0;2948000;hop den hiflex 2 mat ngoai troi day du;Tiger;07/01/2026;199;New Signage Request;NGUYEN TRONG NHAN (TG);TONG;Sales Rep Checked Variation;Standard;Công ty TNHH TM DV Quảng Cáo Hồ Đài;DUONG CHI CUONG;NGUYEN TRONG NHAN (TG);0;0;0;1;0;0;0;0;0;1;1;Sales Rep Checked Variation;South 2;Mekong Delta 1; 12/01/2026;;100%_LME_S2-LME 2026_1_Sales Dept;In progress;ASM approve;nha ve;AP
200;2698000;250000;0;1002000;0;0;3950000;hop den hiflex 2 mat ngoai troi day du;Larue;07/01/2026;200;New Signage Request;DIEP TRUONG THANH;THU;Area Sales Manager Approved...;Standard;Công ty TNHH TM DV Quảng Cáo Hồ Đài;NGUYEN VAN NHO;DIEP TRUONG THANH;0;0;0;1;0;0;0;0;0;1;1;Area Sales Manager Approved...;South 2;Mekong Delta 1; 14/01/2026;;100%_LME_S2-LME 2026_1_Sales Dept;In progress;ASM approve;Sale team;AP
201;1842000;250000;0;2558000;0;0;4650000;bang hieu hiflex 1 mat ngoai troi;Bivina;07/01/2026;201;New Signage Request;Nguyen Van Chien;Hiep Hoa;Sales Admin Full Checked;Standard;CTY TNHH QUANG CAO VA NOI THAT TAN TUNG;Huynh Duc Nhut;Nguyen Van Chien;1;0;0;0;0;1;0;0;0;2;2;Sales Admin Full Checked;Central 2;Central Coast North;;;100%_#_LME 2026_1_Sales Dept;In progress;In progress;Sale team;AP
202;6382000;250000;0;772200;0;0;7404200;bang hieu hiflex 1 mat ngoai troi, hop den hiflex 2 mat ngoai troi day du;Larue;07/01/2026;202;New Signage Request;DIEP TRUONG THANH;QUA VUI;Area Sales Manager Approved...;Standard;Công ty TNHH TM DV Quảng Cáo Hồ Đài;NGUYEN VAN NHO;DIEP TRUONG THANH;1;0;0;1;0;0;0;0;0;2;2;Area Sales Manager Approved...;South 2;Mekong Delta 1; 19/01/2026;;100%_LME_S2-LME 2026_1_Sales Dept;In progress;ASM approve;Sale team;AP
203;5461000;250000;0;600600;0;0;6311600;bang hieu hiflex 1 mat ngoai troi, hop den hiflex 2 mat ngoai troi day du;Larue;07/01/2026;203;New Signage Request;DIEP TRUONG THANH;7 NGHIA;Area Sales Manager Approved...;Standard;Công ty TNHH TM DV Quảng Cáo Hồ Đài;NGUYEN VAN NHO;DIEP TRUONG THANH;1;0;0;1;0;0;0;0;0;2;2;Area Sales Manager Approved...;South 2;Mekong Delta 1; 14/01/2026;;100%_LME_S2-LME 2026_1_Sales Dept;In progress;ASM approve;Sale team;AP
204;0;0;0;390500;0;0;390500;;Larue;07/01/2026;204;New Signage Request;Ngo Nhat Duc;QUAN 70;Sales Rep Checked Variation;Standard;Công ty TNHH MTV QC và trang trí nội ngoại thất Ngọc Lý;Vuong Dang Luan;Ngo Nhat Duc;0;0;1;0;0;0;0;0;0;1;1;Sales Rep Checked Variation;Da Nang 1;Central Mid; 15/01/2026;;100%_LME2026_LME2026_1_Sales Dept;In progress;ASM approve;nha ve;AP
205;0;250000;0;3755000;0;0;4005000;;Tiger;07/01/2026;205;New Signage Request;Do Quoc Khiem;QUAN OC NHUNG;Sales Rep Accepted;Standard;Công ty TNHH Quảng Cáo TM Lam Sơn;Nguyen Lam Tuan;Do Quoc Khiem;0;0;0;0;0;1;0;0;0;1;1;Sales Rep Accepted;Central 8;Central Coast North; 09/01/2026; 14/01/2026;100%_#_LME 2026_1_Sales Dept;Complete;Complete;Complete;AP
206;0;0;0;231000;0;0;231000;;Larue;07/01/2026;206;New Signage Request;Ngo Nhat Duc;QUAN AN;Sales Rep Checked Variation;Standard;Công ty TNHH MTV QC và trang trí nội ngoại thất Ngọc Lý;Vuong Dang Luan;Ngo Nhat Duc;0;0;1;0;0;0;0;0;0;1;1;Sales Rep Checked Variation;Da Nang 1;Central Mid; 15/01/2026;;100%_LME2026_LME2026_1_Sales Dept;In progress;ASM approve;nha ve;AP
207;0;0;0;192500;0;0;192500;;Larue;07/01/2026;207;New Signage Request;Ngo Nhat Duc;QUAN 32 (LAN BIA LANH);Sales Rep Checked Variation;Standard;Công ty TNHH MTV QC và trang trí nội ngoại thất Ngọc Lý;Vuong Dang Luan;Ngo Nhat Duc;0;0;1;0;0;0;0;0;0;1;1;Sales Rep Checked Variation;Da Nang 1;Central Mid; 15/01/2026;;100%_LME2026_LME2026_1_Sales Dept;In progress;ASM approve;nha ve;AP
208;17788000;250000;0;0;0;0;18038000;emblem 2 mat_phien ban 2025_ size 0.8:0.77 _tiger, hop den hiflex 1 mat ngoai troi day du;Tiger;07/01/2026;208;New Signage Request;Vo Nguyen Trong Tin;CLB BIDA ASIA;Sales Rep Checked Variation;Standard;Công ty TNHH Quảng Cáo Hoàng Vinh;Pham Hoang Phi;Vo Nguyen Trong Tin;0;0;0;1;0;0;0;1;0;2;2;Sales Rep Checked Variation;Modern On Trade 8;MONT South; 13/01/2026;;100%_LME 2026_LME 2026_1_Sales Dept;In progress;ASM approve;nha ve;AP
209;24000000;250000;0;0;0;0;24250000;led logo_ngoai troi_phien ban 2025_size 0.8:2.4_tiger;Tiger;07/01/2026;209;New Signage Request;Ngo Nhat Duc;MOI;Sales Rep Checked Variation;Premium;Công ty TNHH MTV QC và trang trí nội ngoại thất Ngọc Lý;Vuong Dang Luan;Ngo Nhat Duc;0;0;0;0;1;0;0;0;1;1;0;Sales Rep Checked Variation;Da Nang 1;Central Mid; 15/01/2026;;100%_LME2026_LME2026_1_Sales Dept;In progress;ASM approve;nha ve;AP
210;1322020;250000;0;0;0;0;1572020;hop den hiflex 2 mat ngoai troi day du;Tiger;07/01/2026;210;New Signage Request;Vo Nguyen Trong Tin;BILLIARDS CLUB HUNG HAI;Sales Rep Checked Variation;Standard;Công ty TNHH Quảng Cáo Hoàng Vinh;Pham Hoang Phi;Vo Nguyen Trong Tin;0;0;0;1;0;0;0;0;0;1;1;Sales Rep Checked Variation;Modern On Trade 8;MONT South; 13/01/2026;;100%_LME 2026_LME 2026_1_Sales Dept;In progress;ASM approve;nha ve;AP
211;6800000;0;0;0;0;0;6800000;led logo_trong nha__phien ban 2025_ size 0.8:0.71m _tiger;Tiger;07/01/2026;211;New Signage Request;Vo Nguyen Trong Tin;BILLARD NHAT KIEU 1;Sales Rep Checked Variation;Premium;Công ty TNHH Quảng Cáo Hoàng Vinh;Pham Hoang Phi;Vo Nguyen Trong Tin;0;0;0;0;1;0;0;0;1;1;0;Sales Rep Checked Variation;Modern On Trade 8;MONT South; 13/01/2026;;100%_LME 2026_LME 2026_1_Sales Dept;In progress;ASM approve;nha ve;AP
212;13600000;0;0;0;0;0;13600000;led logo_trong nha__phien ban 2025_ size 0.8:0.71m _tiger;Tiger;07/01/2026;212;New Signage Request;Vo Nguyen Trong Tin;BILLIARDS NHAT KIEU 3;Sales Rep Checked Variation;Premium;Công ty TNHH Quảng Cáo Hoàng Vinh;Pham Hoang Phi;Vo Nguyen Trong Tin;0;0;0;0;2;0;0;0;2;2;0;Sales Rep Checked Variation;Modern On Trade 8;MONT South; 13/01/2026;;100%_LME 2026_LME 2026_1_Sales Dept;In progress;ASM approve;nha ve;AP
213;0;0;0;0;0;260000;260000;;;07/01/2026;213;New Signage Request;Ngo Nhat Duc;TRAM BE THUI;Area Sales Manager Approved...;Standard;Công ty TNHH MTV QC và trang trí nội ngoại thất Ngọc Lý;Vuong Dang Luan;Ngo Nhat Duc;0;0;0;0;0;0;0;0;0;0;0;Area Sales Manager Approved...;Da Nang 1;Central Mid; 15/01/2026;;100%_LME2026_LME2026_1_Sales Dept;In progress;ASM approve;Sale team;AP
214;6800000;0;0;0;0;0;6800000;led logo_trong nha__phien ban 2025_ size 0.8:0.71m _tiger;Tiger;07/01/2026;214;New Signage Request;Vo Nguyen Trong Tin;PHO VIET;Sales Rep Checked Variation;Premium;Công ty TNHH Quảng Cáo Hoàng Vinh;Pham Hoang Phi;Vo Nguyen Trong Tin;0;0;0;0;1;0;0;0;1;1;0;Sales Rep Checked Variation;Modern On Trade 8;MONT South; 13/01/2026;;100%_LME 2026_LME 2026_1_Sales Dept;In progress;ASM approve;nha ve;AP
215;2698000;250000;0;0;0;0;2948000;hop den hiflex 2 mat ngoai troi day du;Tiger;07/01/2026;215;New Signage Request;Nguyen Truong Son;Pho Dem;Sales Admin Full Checked;Standard;Công ty TNHH Mỹ Thuật Quảng Cáo Kiến Trúc Đỗ Lê;NGUYEN AN HUNG;Nguyen Truong Son;0;0;0;1;0;0;0;0;0;1;1;Sales Admin Full Checked;Central 20;Central Coast North;;;100%_#_LME 2026_1_Sales Dept;In progress;In progress;Sale team;AP
216;2698000;250000;0;1002000;0;0;3950000;hop den hiflex 2 mat ngoai troi day du;Tiger;07/01/2026;216;New Signage Request;Tran Quang Thai;THANH PHONG QUAN;Sign Maker Installed Signage;Standard;Công ty TNHH TM DV Quảng Cáo Hồ Đài;DUONG QUOC TIEN;Tran Quang Thai;0;0;0;1;0;0;0;0;0;1;1;Sign Maker Installed Signage;South 2;Mekong Delta 1; 12/01/2026;;100%_LME_S2-LME 2026_1_Sales Dept;Complete;Complete;Complete;AP
217;1228000;250000;0;989600;0;0;2467600;bang hieu hiflex 1 mat ngoai troi;Larue;07/01/2026;217;New Signage Request;Nguyen Anh Van;TH Y NHI (DSM);Sales Rep Checked Variation;Standard;Công ty TNHH MTV QC và trang trí nội ngoại thất Ngọc Lý;Phi Ngoc Huy;Nguyen Anh Van;1;0;1;0;0;0;0;0;0;2;2;Sales Rep Checked Variation;Da Nang 1;Central Mid; 15/01/2026;;100%_LME2026_LME2026_1_Sales Dept;In progress;ASM approve;nha ve;AP
218;31090448;550000;0;23044133;0;0;54684581;led logo doc trong nha (1:6.5) (2<dt<=4), led logo doc_co chai_size 0.9:0.68_heineken, led logo doc_ngoai troi_size 0.75:1.5_heineken;Heineken;07/01/2026;218;New Signage Request;Truong Hoang Phu;BIER GARDEN;Sales Rep Checked Variation;Premium;CTY CP SMART A VIETNAM;Ngo Thanh Hung;Truong Hoang Phu;0;0;0;0;3;0;0;0;3;3;0;Sales Rep Checked Variation;Modern On Trade 8;MONT South; 12/01/2026;;100%_LME 2026_LME 2026_1_Sales Dept;In progress;ASM approve;nha ve;AP
219;5430000;250000;0;1850000;0;0;7530000;hop den hiflex 1 mat ngoai troi day du;Tiger;07/01/2026;219;New Signage Request;Nguyen Truong Son;Lu Quan Hang Cau;Sales Admin Full Checked;Standard;Công ty TNHH Mỹ Thuật Quảng Cáo Kiến Trúc Đỗ Lê;NGUYEN AN HUNG;Nguyen Truong Son;0;0;0;1;0;0;0;0;0;1;1;Sales Admin Full Checked;Central 20;Central Coast North;;;100%_#_LME 2026_1_Sales Dept;In progress;In progress;Sale team;AP
220;16632000;0;0;2004000;0;0;18636000;hop den hiflex 2 mat khong gan;Tiger;07/01/2026;220;New Signage Request;DAO THANH TRUNG;QUAN MIEN QUE;Sales Admin Full Checked;Standard;Hộ Kinh Doanh Văn Dầu;Tran Kim Anh Tuan;DAO THANH TRUNG;0;0;0;1;0;0;0;0;0;1;1;Sales Admin Full Checked;HCM 9;HCM Zone 4;;;100%_LME 2026 - HCM 9_LME 2026 - HCM 9_1_Sales Dept;In progress;In progress;Sale team;AP
221;5473440;0;0;697800;0;0;6171240;hop den hiflex 1 mat ngoai troi day du;Tiger;07/01/2026;221;New Signage Request;Dang Minh Quan;BIA SET PHONG BUI;Sales Rep Checked Variation;Standard;Công ty TNHH TM DV Quảng Cáo Hồ Đài;TRUONG THE HIEP;Dang Minh Quan;0;0;0;1;0;0;0;0;0;1;1;Sales Rep Checked Variation;South 2;Mekong Delta 1; 12/01/2026;;100%_LME_S2-LME 2026_1_Sales Dept;In progress;ASM approve;nha ve;AP
222;0;250000;0;1775500;0;0;2025500;;Tiger;07/01/2026;222;New Signage Request;BUI THI THANH SEN;KIM KHANH;Sales Admin Full Checked;Standard;Hoa Thủy Ngân;HUYNH THANH AN;BUI THI THANH SEN;0;0;0;0;0;0;0;0;0;0;0;Sales Admin Full Checked;South 20;Mekong Delta 2;;;100%_LME_S20 LME 2026_1_Sales Dept;In progress;In progress;Sale team;AP
223;7819200;250000;0;0;0;0;8069200;hop den hiflex 1 mat ngoai troi day du;Tiger;07/01/2026;223;New Signage Request;Nguyen Thanh Tai;Thanh Binh 2;Sales Rep Checked Variation;Standard;Công ty TNHH Mỹ Thuật Quảng Cáo Kiến Trúc Đỗ Lê;Ho Nguyen Van Khoi;Nguyen Thanh Tai;0;0;0;1;0;0;0;0;0;1;1;Sales Rep Checked Variation;Central 22;Central Coast North; 13/01/2026;;100%_#_LME 2026_1_Sales Dept;In progress;ASM approve;nha ve;AP
224;2099880;250000;0;1060320;0;0;3410200;bang hieu hiflex 1 mat ngoai troi;Tiger;07/01/2026;224;New Signage Request;HA DAI PHUOC;TMART ( CO OANH);Sign Maker Checked Marquette;Standard;Hoa Thủy Ngân;Tran Thi Cam Hang;HA DAI PHUOC;1;0;0;0;0;0;0;0;0;1;1;Sign Maker Checked Marquette;South 20;Mekong Delta 2;;;100%_LME_S20 LME 2026_1_Sales Dept;In progress;In progress;Sale team;AP
225;2263860;250000;0;832040;0;0;3345900;bang hieu hiflex 1 mat ngoai troi, hop den hiflex 2 mat ngoai troi day du;Larue;07/01/2026;225;New Signage Request;HA DAI PHUOC;THI THIEN;Sign Maker Checked Marquette;Standard;Hoa Thủy Ngân;Tran Thi Cam Hang;HA DAI PHUOC;1;0;0;1;0;0;0;0;0;2;2;Sign Maker Checked Marquette;South 20;Mekong Delta 2;;;100%_LME_S20 LME 2026_1_Sales Dept;In progress;In progress;Sale team;AP
226;2698000;250000;0;4931200;0;0;7879200;hop den hiflex 2 mat ngoai troi day du;Bivina;07/01/2026;226;New Signage Request;Nguyen Van Chien;Bay Kim;Sales Admin Full Checked;Standard;CTY TNHH QUANG CAO VA NOI THAT TAN TUNG;Huynh Duc Nhut;Nguyen Van Chien;0;0;0;1;0;1;0;0;0;2;2;Sales Admin Full Checked;Central 2;Central Coast North;;;100%_#_LME 2026_1_Sales Dept;In progress;In progress;Sale team;AP
227;4816300;250000;0;2296200;0;0;7362500;bang hieu hiflex 1 mat ngoai troi, hop den hiflex 2 mat ngoai troi day du;Larue;07/01/2026;227;New Signage Request;Dinh The Phuong;Kha Tai Van;Sign Maker Checked Marquette;Standard;Hoa Thủy Ngân;Tran Thi Cam Hang;Dinh The Phuong;1;0;0;1;0;0;0;0;0;2;2;Sign Maker Checked Marquette;South 20;Mekong Delta 2;;;100%_LME_S20 LME 2026_1_Sales Dept;In progress;In progress;Sale team;AP
228;2698000;250000;0;1152000;0;0;4100000;hop den hiflex 2 mat ngoai troi day du;Larue;07/01/2026;228;New Signage Request;Dinh The Phuong;KHUOL;Sign Maker Checked Marquette;Standard;Hoa Thủy Ngân;Tran Thi Cam Hang;Dinh The Phuong;0;0;0;1;0;0;0;0;0;1;1;Sign Maker Checked Marquette;South 20;Mekong Delta 2;;;100%_LME_S20 LME 2026_1_Sales Dept;In progress;In progress;Sale team;AP
